    645 Bartonella washoensis
      3 Solemya pervernicosa gill symbiont
      3 Bartonella jaculi
      2 bacterium V9D2002
      2 Intestinimonas butyriciproducens
      2 Clostridium sp. Marseille-P2776
      1 unidentified bacterium
      1 bacterium XPB1014
      1 bacterium NLAE-zl-G12
      1 bacterium NLAE-zl-G1
      1 bacterium AC2028
      1 Staphylococcus sp.
      1 Pelomonas puraquae
      1 Lactobacillales bacterium HY-36-1
      1 Eggerthellaceae bacterium Marseille-P2849
      1 Clostridium clostridioforme
      1 Clostridiales bacterium oral taxon 085
      1 Clostridiales bacterium 30-4c
      1 Aestuariimicrobium kwangyangense
